userWallet,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,sum_deposit_usd,sum_borrow_usd,sum_repay_usd,sum_redeem_usd,liquidation_ratio,utilization_rate,borrow_repay_ratio,unique_token_count,activity_duration_days,total_actions,actions_per_day,mean_txn_interval_sec,referral_count
0x02d0a54ce6f8ef3114c57247598ab66394da9af2,5,0,0,3,0,1.3435282735275144e+20,0.0,0.0,6499824068.607246,0.0,0.0,0.0,3,1,8,4.0,12679.57142857143,0
0x02d0e2b7b3af01c1a4e9c7e0bbe6bb58c09e44a4,2,0,0,0,0,3.2200618597182756e+18,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,1.0,112109.0,0
0x02d1470908285f35efeb65b00162134ec721118d,4,3,0,0,0,7.832164453165779e+19,3.5652910439053607e+19,0.0,0.0,0.0,0.4552114636030481,3.5652910439053607e+19,1,0,7,7.0,96.0,0
0x02d14eafbf2724a0bc5e7c6fb21a799c7e1eb2b5,51,22,59,18,0,1.0036027471368706e+22,9445843837.020765,5805555527.13765,4.570022487167118e+21,0.0,9.411935015092728e-13,1.6270353097545647,6,79,150,1.875,46357.57718120806,0
0x02d1a8ba9899069170eeb5339b300ec46ae0c8fb,1,0,0,0,0,1118392.2152500472,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d1ef1d65fff7ad234b7e0d11c853cade2f513b,2,0,0,0,0,6.035487650623638e+19,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,1.0,124071.0,0
0x02d2324ed8cbaa5405ca0e76c01dfa7c51b328db,1,0,0,0,0,1755767.8888138684,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d27262a78932e692eb9330646987559670bbda,21,4,5,10,0,4.354366556652804e+21,1.5220293761428678e+20,2313810446.6534505,1.4957162922791406e+21,0.0,0.034954093927104975,65780210202.025536,4,81,40,0.4878048780487805,180145.64102564103,0
0x02d27fa03e3443a5aa5db3bbec4c9e7fa2695115,1,0,0,0,0,1058993.7397646345,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d2c85be49875baf06525167bb4797746b77f61,18,0,0,7,0,6.803791856387905e+20,0.0,0.0,6.6329071048418e+20,0.0,0.0,0.0,3,108,25,0.22935779816513763,391950.5,0
0x02d326f3af9a097816a145dbea25100059a5cdc5,1,0,0,0,0,2.033085640272122e+17,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d37ff31824b401ef5c19579032dad4d98a8d67,1,0,0,0,0,1053530.4080647381,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d5333d35b155ec5876f3a355b845ce37d2fd04,3,1,0,1,0,5.0951599593690235e+20,1.7585211703655825e+20,0.0,1867854220.8268046,0.0,0.3451356158371434,1.7585211703655825e+20,4,57,5,0.08620689655172414,1252062.75,0
0x02d6190c22293e010846b439787d304668783885,6,0,0,0,0,8.715719618831131e+18,0.0,0.0,0.0,0.0,0.0,0.0,2,1,6,3.0,20959.4,0
0x02d6f83cdaaa281a48c8e2627eac84a6c843cc08,1,0,0,0,0,1.2068277101113968e+16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d77fc7307cd7ec962eda62d25936156a7a6492,31,16,13,18,0,2.5301252398724263e+21,1.4203120519407406e+21,6.558512187488314e+20,1.0160369233413968e+21,0.0,0.5613603744027925,2.1656009950706085,6,78,78,0.9873417721518988,88382.77922077922,0
0x02d7da92ffbe43fc603bb8b5c5ccc032dc616d51,4,4,1,2,0,2.5385452970673065e+22,38520509479.83977,38649143281.983604,2.4272120673818812e+22,0.0,1.5174245472137597e-12,0.9966717553814325,3,1,11,5.5,15094.4,0
0x02d82a2663905f3ab3a880e257b9e8239949483a,1,0,0,0,0,1.845597410943424e+17,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d86f9846faff28378cbfb438e2f9a87b5e7682,16,9,15,18,0,1.461837494909457e+19,70723694211.4337,70601138857.87465,1.33834644475343e+19,0.0,4.837999740580889e-09,1.0017358835075456,3,7,58,7.25,10994.035087719298,0
0x02d93e0bdcb28c88add70252d7a70168c269d6cb,1,0,0,0,0,13666.593852576018,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02d9468f3794ad392949d3ef68750580046d7b79,6,2,0,4,0,4.6650169861297857e+21,2.1573324489908088e+21,0.0,2.3383182981930651e+21,0.0,0.46244900188039517,2.1573324489908088e+21,4,44,12,0.26666666666666666,352134.9090909091,0
0x02d9cd8f4b86421bfef64deaac6afe246eefaa0b,2,1,1,0,0,3.2012739281042753e+21,1034901142.368836,229138789.64641565,0.0,0.0,3.2327790923586535e-13,4.516481646120727,3,103,4,0.038461538461538464,2972597.3333333335,0
0x02da3599bfcda5a872b1b7158210369579f795ab,1,0,0,0,0,1051154.7966210668,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02da983db0d963407f2e95ae60df3bd648c8a92a,2,0,0,0,0,2259609.878203447,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,0.3333333333333333,471516.0,0
0x02dabc929961b484b6e41edbe3c25b97f870f507,1,0,0,0,0,1.0068726470243377e+18,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02db6d1adc9e057240ec42dc7bb952a254534ebf,1,0,0,0,0,1961869.736174183,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02db807be71c8ffcaf8c69aa313292d382d69dd9,1,0,0,0,0,2.0462180301033706e+17,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02dbd1aa375c7d00ecf1de198158ffa332110d47,2,0,0,2,0,1.6211312940205985e+20,0.0,0.0,1.6051455565326074e+19,0.0,0.0,0.0,3,26,4,0.14814814814814814,762547.6666666666,0
